
null
cycle: 162.0; minSize: 0.046298271291423866; maxSize: 9.460743933643455; mean: 4.809030831954527
cycle: 163.0; minSize: 0.3062982712914261; maxSize: 9.760743933643456; mean: 5.458675492225426
cycle: 164.0; minSize: 0.05870872369256407; maxSize: 9.177239399233626; mean: 5.9681562402358335
cycle: 165.0; minSize: 0.018951605882020092; maxSize: 9.469857948013631; mean: 3.4173165995522767
cycle: 166.0; minSize: 0.013679469692444407; maxSize: 9.769727293878677; mean: 1.5210680736516933
cycle: 167.0; minSize: 0.030235987369718664; maxSize: 9.997433600635794; mean: 2.001581696593064
cycle: 168.0; minSize: 0.02888164924829066; maxSize: 9.985450388340833; mean: 2.5056704349223193
cycle: 169.0; minSize: 0.05266669792050329; maxSize: 9.839334032389335; mean: 3.055649854761996
cycle: 170.0; minSize: 0.021341124590085858; maxSize: 9.911401804368216; mean: 3.4687200778883556
cycle: 171.0; minSize: 0.05594350362326256; maxSize: 9.973777358377497; mean: 3.9511341832595477
cycle: 172.0; minSize: 0.05235494415448851; maxSize: 9.88426075536107; mean: 4.367180911280239
cycle: 173.0; minSize: 0.03324643828904561; maxSize: 9.742578736847769; mean: 4.735664582722218
cycle: 174.0; minSize: 0.3558851863446103; maxSize: 9.980480432023308; mean: 5.2637424668571855
cycle: 175.0; minSize: 0.030121371815846787; maxSize: 9.994482471268665; mean: 4.1777563517236365
cycle: 176.0; minSize: 0.027571612127988462; maxSize: 9.982727326759967; mean: 3.562896926566307
cycle: 177.0; minSize: 0.04312633490219409; maxSize: 9.998929522452414; mean: 3.105359648720878
cycle: 178.0; minSize: 0.01257702706237633; maxSize: 9.977347093974412; mean: 3.3251329226501647
cycle: 179.0; minSize: 0.04743253083828864; maxSize: 9.913172289503905; mean: 3.49190118185676
cycle: 180.0; minSize: 0.03552616057952648; maxSize: 9.92553784008458; mean: 3.658298231146528
cycle: 181.0; minSize: 0.023350114026411503; maxSize: 9.969310479365848; mean: 4.070257234056405
cycle: 182.0; minSize: 0.042361693719381976; maxSize: 9.955945587798062; mean: 4.421852718521005
cycle: 183.0; minSize: 0.03686278266426289; maxSize: 9.969271248537737; mean: 4.523465623918741
cycle: 184.0; minSize: 0.04133349132069506; maxSize: 9.85211786333019; mean: 4.907085901877717
cycle: 185.0; minSize: 0.022001470135838155; maxSize: 9.964882537983724; mean: 3.4992306401153357
cycle: 186.0; minSize: 0.047004754032888826; maxSize: 9.974041491664929; mean: 3.454291161518202
cycle: 187.0; minSize: 0.023414165964275244; maxSize: 9.980493665850378; mean: 3.092989118751556
cycle: 188.0; minSize: 0.0516928017632259; maxSize: 9.983053235480448; mean: 3.064344889433121
cycle: 189.0; minSize: 0.02451280626511386; maxSize: 9.90605584685275; mean: 2.8367712551710493
cycle: 190.0; minSize: 0.05077106244542379; maxSize: 9.942166247773551; mean: 2.8403679213078794
cycle: 191.0; minSize: 0.04445084700110349; maxSize: 9.963107674208429; mean: 2.8799064634923317
cycle: 192.0; minSize: 0.052819633706458056; maxSize: 9.946385632511742; mean: 2.967534744664257
cycle: 193.0; minSize: 0.06639321696556322; maxSize: 9.967015693689232; mean: 2.9529896677982816
cycle: 194.0; minSize: 0.08429824071285895; maxSize: 9.992767885041191; mean: 3.209858608103364
cycle: 195.0; minSize: 0.07638595413179174; maxSize: 9.995375588012283; mean: 3.516046247089818
cycle: 196.0; minSize: 0.025168019379945214; maxSize: 9.841642735621376; mean: 3.424229438380167
cycle: 197.0; minSize: 0.07151130772817506; maxSize: 9.904142735621376; mean: 3.5683264003301773
cycle: 198.0; minSize: 0.019460166645711263; maxSize: 9.979142735621375; mean: 3.6199661170068187
cycle: 199.0; minSize: 0.030390923532360017; maxSize: 9.970233024428195; mean: 3.2952665923905213
