
null
cycle: 117; nbPreys: 127; minEnergyPreys: 0.011049215686273595; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05999999999999961; maxSizePredators: 0.98
cycle: 118; nbPreys: 126; minEnergyPreys: 0.12340470588236736; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.039999999999999605; maxSizePredators: 0.96
cycle: 119; nbPreys: 124; minEnergyPreys: 0.07340470588236736; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.019999999999999605; maxSizePredators: 1.0
cycle: 120; nbPreys: 119; minEnergyPreys: 0.023404705882367358; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.09999999999999995; maxSizePredators: 1.0
cycle: 121; nbPreys: 119; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.07999999999999995; maxSizePredators: 1.0
cycle: 122; nbPreys: 124; minEnergyPreys: 2.592156862745443E-4; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.05999999999999994; maxSizePredators: 1.0
cycle: 123; nbPreys: 114; minEnergyPreys: 3.0372549019765105E-4; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.03999999999999994; maxSizePredators: 0.98
cycle: 124; nbPreys: 111; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.019999999999999938; maxSizePredators: 0.96
cycle: 125; nbPreys: 110; minEnergyPreys: 0.24457921568627267; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.07333333333333329; maxSizePredators: 1.0
cycle: 126; nbPreys: 108; minEnergyPreys: 0.15067313725490192; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05333333333333329; maxSizePredators: 0.98
cycle: 127; nbPreys: 112; minEnergyPreys: 0.10067313725490191; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.033333333333333284; maxSizePredators: 0.96
cycle: 128; nbPreys: 120; minEnergyPreys: 0.05067313725490191; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.94
cycle: 129; nbPreys: 120; minEnergyPreys: 0.04457921568627268; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.09333333333333307; maxSizePredators: 0.9199999999999999
cycle: 130; nbPreys: 123; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.07333333333333307; maxSizePredators: 0.8999999999999999
cycle: 131; nbPreys: 121; minEnergyPreys: 0.03255764705882183; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.053333333333333066; maxSizePredators: 0.8799999999999999
cycle: 132; nbPreys: 118; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.03333333333333306; maxSizePredators: 0.8599999999999999
cycle: 133; nbPreys: 121; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.013333333333333062; maxSizePredators: 0.8399999999999999
cycle: 134; nbPreys: 121; minEnergyPreys: 0.19999999999999968; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.16; maxSizePredators: 0.8199999999999998
cycle: 135; nbPreys: 124; minEnergyPreys: 0.1499999999999997; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.14; maxSizePredators: 1.0
cycle: 136; nbPreys: 121; minEnergyPreys: 0.09999999999999969; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.12000000000000001; maxSizePredators: 0.98
cycle: 137; nbPreys: 121; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.1; maxSizePredators: 0.96
cycle: 138; nbPreys: 126; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.08; maxSizePredators: 1.0
cycle: 139; nbPreys: 126; minEnergyPreys: 0.10000000000000013; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.06; maxSizePredators: 1.0
cycle: 140; nbPreys: 124; minEnergyPreys: 0.05000000000000013; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.039999999999999994; maxSizePredators: 0.98
cycle: 141; nbPreys: 131; minEnergyPreys: 1.249000902703301E-16; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999993; maxSizePredators: 0.96
cycle: 142; nbPreys: 136; minEnergyPreys: 0.07176999999999803; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.15999999999999973; maxSizePredators: 1.0
cycle: 143; nbPreys: 137; minEnergyPreys: 0.021769999999998027; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.13999999999999974; maxSizePredators: 1.0
cycle: 144; nbPreys: 140; minEnergyPreys: 0.19755431372548943; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.11999999999999973; maxSizePredators: 0.98
cycle: 145; nbPreys: 138; minEnergyPreys: 0.14755431372548944; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.09999999999999973; maxSizePredators: 0.96
cycle: 146; nbPreys: 138; minEnergyPreys: 0.09755431372548944; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.07999999999999972; maxSizePredators: 0.94
cycle: 147; nbPreys: 144; minEnergyPreys: 0.04755431372548943; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.05999999999999972; maxSizePredators: 0.9199999999999999
cycle: 148; nbPreys: 148; minEnergyPreys: 0.04936450980392407; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.039999999999999716; maxSizePredators: 0.8999999999999999
cycle: 149; nbPreys: 148; minEnergyPreys: 0.056753071895423855; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999716; maxSizePredators: 0.8799999999999999
cycle: 150; nbPreys: 147; minEnergyPreys: 0.013283071895423854; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999716; maxSizePredators: 0.8599999999999999
cycle: 151; nbPreys: 149; minEnergyPreys: 0.10804307189542399; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.0533333333333329; maxSizePredators: 0.8399999999999999
cycle: 152; nbPreys: 153; minEnergyPreys: 0.05804307189542399; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.033333333333332896; maxSizePredators: 0.8199999999999998
