
cycle: 74.0; nbPreys: 94; minEnergyPreys: 0.03; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 75.0; nbPreys: 90; minEnergyPreys: 0.060784313725489786; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.98
cycle: 76.0; nbPreys: 95; minEnergyPreys: 0.011764705882352528; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 77.0; nbPreys: 93; minEnergyPreys: 0.010000000000003076; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 78.0; nbPreys: 87; minEnergyPreys: 0.09607843137254837; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.1399999999999994; maxSizePredators: 1.0
cycle: 79.0; nbPreys: 84; minEnergyPreys: 0.12156862745098013; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 80.0; nbPreys: 81; minEnergyPreys: 0.07960784313725464; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 81.0; nbPreys: 79; minEnergyPreys: 0.037647058823529145; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 82.0; nbPreys: 77; minEnergyPreys: 0.009999999999999218; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 83.0; nbPreys: 75; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 84.0; nbPreys: 74; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 85.0; nbPreys: 70; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05333333333333329; maxSizePredators: 0.98
cycle: 86.0; nbPreys: 69; minEnergyPreys: 0.04999999999999896; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 87.0; nbPreys: 72; minEnergyPreys: 0.09999999999999958; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.98
cycle: 88.0; nbPreys: 72; minEnergyPreys: 0.04999999999999957; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
cycle: 89.0; nbPreys: 75; minEnergyPreys: 0.0011111111111115762; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
cycle: 90.0; nbPreys: 72; minEnergyPreys: 0.011111111111110919; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.006666666666666328; maxSizePredators: 0.9199999999999999
cycle: 91.0; nbPreys: 69; minEnergyPreys: 0.04999999999999957; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.1133333333333333; maxSizePredators: 0.8999999999999999
cycle: 92.0; nbPreys: 61; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0
cycle: 93.0; nbPreys: 60; minEnergyPreys: 0.09999999999999946; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.07333333333333329; maxSizePredators: 0.98
cycle: 94.0; nbPreys: 60; minEnergyPreys: 0.04999999999999946; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.05333333333333329; maxSizePredators: 0.96
cycle: 95.0; nbPreys: 57; minEnergyPreys: 0.040000000000000785; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.033333333333333284; maxSizePredators: 0.94
cycle: 96.0; nbPreys: 51; minEnergyPreys: 0.029999999999999777; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.013333333333333284; maxSizePredators: 1.0
cycle: 97.0; nbPreys: 47; minEnergyPreys: 1.8457457784393227E-15; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.12000000000000001; maxSizePredators: 1.0
cycle: 98.0; nbPreys: 46; minEnergyPreys: 0.19999999999999968; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.1; maxSizePredators: 1.0
cycle: 99.0; nbPreys: 43; minEnergyPreys: 0.1499999999999997; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.08; maxSizePredators: 1.0
cycle: 100.0; nbPreys: 40; minEnergyPreys: 0.19999999999999968; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.06; maxSizePredators: 1.0
cycle: 101.0; nbPreys: 37; minEnergyPreys: 0.40000000000000013; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.039999999999999994; maxSizePredators: 1.0
cycle: 102.0; nbPreys: 38; minEnergyPreys: 0.4400000000000023; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.019999999999999993; maxSizePredators: 1.0
cycle: 103.0; nbPreys: 38; minEnergyPreys: 0.3900000000000023; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.359999999999999; maxSizePredators: 0.98
cycle: 104.0; nbPreys: 38; minEnergyPreys: 0.3400000000000023; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.33999999999999897; maxSizePredators: 0.96
cycle: 105.0; nbPreys: 38; minEnergyPreys: 0.2900000000000023; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.31999999999999895; maxSizePredators: 0.94
cycle: 106.0; nbPreys: 40; minEnergyPreys: 0.24000000000000232; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.29999999999999893; maxSizePredators: 1.0
cycle: 107.0; nbPreys: 40; minEnergyPreys: 0.19000000000000233; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.2799999999999989; maxSizePredators: 1.0
cycle: 108.0; nbPreys: 45; minEnergyPreys: 0.14000000000000234; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.2599999999999989; maxSizePredators: 0.98
cycle: 109.0; nbPreys: 45; minEnergyPreys: 0.09000000000000234; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.2399999999999989; maxSizePredators: 0.96
cycle: 110.0; nbPreys: 45; minEnergyPreys: 0.04000000000000234; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.21999999999999892; maxSizePredators: 0.94
cycle: 111.0; nbPreys: 44; minEnergyPreys: 0.11627450980392189; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.19999999999999893; maxSizePredators: 0.9199999999999999
cycle: 112.0; nbPreys: 46; minEnergyPreys: 0.06627450980392188; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.17999999999999894; maxSizePredators: 0.8999999999999999
cycle: 113.0; nbPreys: 46; minEnergyPreys: 0.01627450980392188; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.15999999999999895; maxSizePredators: 0.8799999999999999
cycle: 114.0; nbPreys: 45; minEnergyPreys: 0.08431372549019404; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.13999999999999896; maxSizePredators: 0.8599999999999999
cycle: 115.0; nbPreys: 45; minEnergyPreys: 0.04411764705882107; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.11999999999999895; maxSizePredators: 0.8399999999999999
cycle: 116.0; nbPreys: 45; minEnergyPreys: 0.004901960784310835; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.09999999999999895; maxSizePredators: 0.8199999999999998
cycle: 117.0; nbPreys: 43; minEnergyPreys: 0.19705882352941195; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07999999999999895; maxSizePredators: 0.9999999999999996
cycle: 118.0; nbPreys: 46; minEnergyPreys: 0.20000000000000007; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999894; maxSizePredators: 1.0
cycle: 119.0; nbPreys: 44; minEnergyPreys: 0.15000000000000008; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03999999999999894; maxSizePredators: 1.0
cycle: 120.0; nbPreys: 42; minEnergyPreys: 0.10000000000000007; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.01999999999999894; maxSizePredators: 1.0
cycle: 121.0; nbPreys: 42; minEnergyPreys: 0.05000000000000007; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.98
cycle: 122.0; nbPreys: 41; minEnergyPreys: 6.938893903907228E-17; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.013333333333333006; maxSizePredators: 0.9799999999999989
cycle: 123.0; nbPreys: 41; minEnergyPreys: 0.19281045751633896; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.02999999999999985; maxSizePredators: 1.0
cycle: 124.0; nbPreys: 41; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.00999999999999985; maxSizePredators: 0.98
cycle: 125.0; nbPreys: 41; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.05999999999999961; maxSizePredators: 0.96
cycle: 126.0; nbPreys: 42; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.039999999999999605; maxSizePredators: 1.0
