x,y,dist,ffreq,part.a,part.b
575500,1087500,0,0,0,0
561500,1070500,0,0,0,0
589500,1083500,0,0,0,0
577500,1096500,0,0,0,0
539500,1068500,0,0,0,0
589500,1078500,0,0,0,0
566500,1074500,0,0,0,0
570500,1091500,0,0,0,0
594500,1089500,0,0,0,0
545500,1071500,0,0,0,0
573500,1086500,0,0,0,0
576500,1092500,0,0,0,0
591500,1084500,0,0,0,0
544500,1061500,0,0,0,0
576500,1090500,0,0,0,0
588500,1078500,0,0,0,0
561500,1061500,0,0,0,0
583500,1084500,0,0,0,0
587500,1078500,0,0,0,0
593500,1090500,0,0,0,0
555500,1076500,0,0,0,0
545500,1065500,0,0,0,0
539500,1073500,0,0,0,0
575500,1082500,0,0,0,0
579500,1074500,0,0,0,0
548500,1074500,0,0,0,0
572500,1080500,0,0,0,0
571500,1066500,0,0,0,0
554500,1083500,0,0,0,0
559500,1085500,0,0,0,0
556500,1073500,0,0,0,0
566500,1079500,0,0,0,0
555500,1067500,0,0,0,0
584500,1076500,0,0,0,0
544500,1076500,0,0,0,0
570500,1095500,0,0,0,0
557500,1065500,0,0,0,0
582500,1072500,0,0,0,0
565500,1100500,0,0,0,0
575500,1070500,0,0,0,0
575500,1083500,0,0,0,0
574500,1087500,0,0,0,0
573500,1087500,0,0,0,0
589500,1090500,0,0,0,0
572500,1096500,0,0,0,0
578500,1080500,0,0,0,0
591500,1087500,0,0,0,0
577500,1098500,0,0,0,0
576500,1080500,0,0,0,0
549500,1082500,0,0,0,0
570500,1074500,0,0,0,0
562500,1098500,0,0,0,0
558500,1086500,0,0,0,0
550500,1061500,0,0,0,0
545500,1081500,0,0,0,0
584500,1084500,0,0,0,0
576500,1094500,0,0,0,0
590500,1091500,0,0,0,0
565500,1094500,0,0,0,0
557500,1083500,0,0,0,0
587500,1088500,0,0,0,0
582500,1089500,0,0,0,0
556500,1060500,0,0,0,0
585500,1093500,0,0,0,0
577500,1073500,0,0,0,0
584500,1100500,0,0,0,0
591500,1097500,0,0,0,0
591500,1098500,0,0,0,0
575500,1097500,0,0,0,0
576500,1083500,0,0,0,0
543500,1075500,0,0,0,0
543500,1076500,0,0,0,0
583500,1073500,0,0,0,0
553500,1078500,0,0,0,0
592500,1086500,0,0,0,0
591500,1077500,0,0,0,0
556500,1061500,0,0,0,0
569500,1073500,0,0,0,0
558500,1083500,0,0,0,0
556500,1066500,0,0,0,0
540500,1069500,0,0,0,0
552500,1066500,0,0,0,0
563500,1088500,0,0,0,0
595500,1096500,0,0,0,0
582500,1085500,0,0,0,0
580500,1101500,0,0,0,0
558500,1071500,0,0,0,0
544500,1073500,0,0,0,0
574500,1086500,0,0,0,0
572500,1079500,0,0,0,0
562500,1094500,0,0,0,0
582500,1080500,0,0,0,0
545500,1066500,0,0,0,0
560500,1098500,0,0,0,0
556500,1065500,0,0,0,0
538500,1071500,0,0,0,0
564500,1092500,0,0,0,0
543500,1062500,0,0,0,0
574500,1089500,0,0,0,0
563500,1089500,0,0,0,0
555500,1063500,0,0,0,0
581500,1083500,0,0,0,0
560500,1061500,0,0,0,0
588500,1086500,0,0,0,0
561500,1104500,0,0,0,0
572500,1100500,0,0,0,0
561500,1090500,0,0,0,0
547500,1070500,0,0,0,0
586500,1101500,0,0,0,0
584500,1098500,0,0,0,0
592500,1082500,0,0,0,0
557500,1078500,0,0,0,0
559500,1066500,0,0,0,0
571500,1087500,0,0,0,0
546500,1082500,0,0,0,0
567500,1092500,0,0,0,0
565500,1070500,0,0,0,0
564500,1082500,0,0,0,0
558500,1082500,0,0,0,0
589500,1100500,0,0,0,0
574500,1070500,0,0,0,0
544500,1068500,0,0,0,0
547500,1065500,0,0,0,0
572500,1067500,0,0,0,0
549500,1063500,0,0,0,0
558500,1085500,0,0,0,0
562500,1096500,0,0,0,0
590500,1097500,0,0,0,0
539500,1072500,0,0,0,0
574500,1095500,0,0,0,0
550500,1086500,0,0,0,0
560500,1071500,0,0,0,0
582500,1075500,0,0,0,0
575500,1077500,0,0,0,0
545500,1074500,0,0,0,0
581500,1085500,0,0,0,0
554500,1064500,0,0,0,0
584500,1086500,0,0,0,0
567500,1079500,0,0,0,0
579500,1098500,0,0,0,0
584500,1073500,0,0,0,0
585500,1088500,0,0,0,0
558500,1063500,0,0,0,0
592500,1080500,0,0,0,0
550500,1071500,0,0,0,0
541500,1060500,0,0,0,0
564500,1085500,0,0,0,0
587500,1089500,0,0,0,0
578500,1094500,0,0,0,0
564500,1068500,0,0,0,0
550500,1062500,0,0,0,0
566500,1085500,0,0,0,0
592500,1084500,0,0,0,0
550500,1059500,0,0,0,0
557500,1074500,0,0,0,0
550500,1068500,0,0,0,0
560500,1102500,0,0,0,0
573500,1066500,0,0,0,0
572500,1084500,0,0,0,0
558500,1077500,0,0,0,0
591500,1092500,0,0,0,0
564500,1079500,0,0,0,0
588500,1088500,0,0,0,0
569500,1099500,0,0,0,0
586500,1084500,0,0,0,0
591500,1085500,0,0,0,0
553500,1065500,0,0,0,0
550500,1069500,0,0,0,0
568500,1092500,0,0,0,0
552500,1082500,0,0,0,0
560500,1084500,0,0,0,0
567500,1082500,0,0,0,0
560500,1093500,0,0,0,0
566500,1086500,0,0,0,0
554500,1060500,0,0,0,0
586500,1081500,0,0,0,0
566500,1076500,0,0,0,0
575500,1090500,0,0,0,0
593500,1095500,0,0,0,0
558500,1070500,0,0,0,0
559500,1065500,0,0,0,0
571500,1096500,0,0,0,0
562500,1100500,0,0,0,0
579500,1085500,0,0,0,0
561500,1100500,0,0,0,0
582500,1071500,0,0,0,0
562500,1066500,0,0,0,0
581500,1097500,0,0,0,0
538500,1070500,0,0,0,0
579500,1080500,0,0,0,0
584500,1091500,0,0,0,0
580500,1078500,0,0,0,0
590500,1095500,0,0,0,0
595500,1101500,0,0,0,0
580500,1096500,0,0,0,0
540500,1071500,0,0,0,0
566500,1083500,0,0,0,0
585500,1084500,0,0,0,0
546500,1069500,0,0,0,0
558500,1080500,0,0,0,0
575500,1086500,0,0,0,0
550500,1063500,0,0,0,0
574500,1097500,0,0,0,0
576500,1099500,0,0,0,0
543500,1059500,0,0,0,0
561500,1096500,0,0,0,0
573500,1094500,0,0,0,0
563500,1062500,0,0,0,0
559500,1081500,0,0,0,0
562500,1080500,0,0,0,0
548500,1063500,0,0,0,0
576500,1077500,0,0,0,0
581500,1102500,0,0,0,0
566500,1064500,0,0,0,0
570500,1079500,0,0,0,0
553500,1082500,0,0,0,0
583500,1095500,0,0,0,0
558500,1069500,0,0,0,0
591500,1090500,0,0,0,0
573500,1076500,0,0,0,0
567500,1096500,0,0,0,0
583500,1085500,0,0,0,0
561500,1086500,0,0,0,0
567500,1089500,0,0,0,0
564500,1093500,0,0,0,0
561500,1099500,0,0,0,0
565500,1066500,0,0,0,0
583500,1094500,0,0,0,0
542500,1060500,0,0,0,0
588500,1075500,0,0,0,0
565500,1098500,0,0,0,0
584500,1099500,0,0,0,0
574500,1090500,0,0,0,0
575500,1079500,0,0,0,0
557500,1073500,0,0,0,0
559500,1097500,0,0,0,0
577500,1088500,0,0,0,0
580500,1070500,0,0,0,0
544500,1077500,0,0,0,0
565500,1072500,0,0,0,0
560500,1088500,0,0,0,0
578500,1068500,0,0,0,0
544500,1067500,0,0,0,0
590500,1085500,0,0,0,0
551500,1082500,0,0,0,0
579500,1100500,0,0,0,0
573500,1081500,0,0,0,0
553500,1081500,0,0,0,0
581500,1094500,0,0,0,0
565500,1067500,0,0,0,0
569500,1065500,0,0,0,0
572500,1070500,0,0,0,0
594500,1092500,0,0,0,0
556500,1075500,0,0,0,0
576500,1097500,0,0,0,0
570500,1077500,0,0,0,0
556500,1071500,0,0,0,0
594500,1090500,0,0,0,0
554500,1067500,0,0,0,0
559500,1069500,0,0,0,0
542500,1071500,0,0,0,0
564500,1083500,0,0,0,0
596500,1096500,0,0,0,0
589500,1075500,0,0,0,0
588500,1096500,0,0,0,0
559500,1080500,0,0,0,0
569500,1088500,0,0,0,0
571500,1101500,0,0,0,0
545500,1073500,0,0,0,0
543500,1065500,0,0,0,0
558500,1079500,0,0,0,0
578500,1082500,0,0,0,0
543500,1068500,0,0,0,0
551500,1085500,0,0,0,0
572500,1089500,0,0,0,0
591500,1096500,0,0,0,0
568500,1077500,0,0,0,0
562500,1097500,0,0,0,0
553500,1066500,0,0,0,0
549500,1061500,0,0,0,0
553500,1064500,0,0,0,0
565500,1089500,0,0,0,0
545500,1072500,0,0,0,0
571500,1080500,0,0,0,0
586500,1085500,0,0,0,0
563500,1079500,0,0,0,0
553500,1070500,0,0,0,0
589500,1077500,0,0,0,0
572500,1086500,0,0,0,0
545500,1079500,0,0,0,0
558500,1098500,0,0,0,0
590500,1076500,0,0,0,0
577500,1084500,0,0,0,0
551500,1078500,0,0,0,0
563500,1070500,0,0,0,0
550500,1075500,0,0,0,0
568500,1081500,0,0,0,0
551500,1077500,0,0,0,0
587500,1094500,0,0,0,0
551500,1068500,0,0,0,0
592500,1085500,0,0,0,0
588500,1093500,0,0,0,0
578500,1102500,0,0,0,0
589500,1085500,0,0,0,0
550500,1067500,0,0,0,0
542500,1075500,0,0,0,0
549500,1070500,0,0,0,0
582500,1076500,0,0,0,0
