x,y,dist,ffreq,part.a,part.b
572883,1004600,0,0,0,0
574817,1004600,0,0,0,0
576751,1004600,0,0,0,0
578685,1004600,0,0,0,0
580619,1004600,0,0,0,0
582553,1004600,0,0,0,0
584487,1004600,0,0,0,0
586421,1004600,0,0,0,0
588355,1004600,0,0,0,0
590289,1004600,0,0,0,0
592223,1004600,0,0,0,0
594157,1004600,0,0,0,0
596091,1004600,0,0,0,0
598025,1004600,0,0,0,0
599959,1004600,0,0,0,0
601893,1004600,0,0,0,0
603827,1004600,0,0,0,0
605761,1004600,0,0,0,0
607695,1004600,0,0,0,0
609629,1004600,0,0,0,0
611563,1004600,0,0,0,0
613497,1004600,0,0,0,0
615431,1004600,0,0,0,0
617365,1004600,0,0,0,0
619299,1004600,0,0,0,0
621233,1004600,0,0,0,0
623167,1004600,0,0,0,0
625101,1004600,0,0,0,0
627035,1004600,0,0,0,0
628969,1004600,0,0,0,0
630903,1004600,0,0,0,0
632837,1004600,0,0,0,0
634771,1004600,0,0,0,0
636705,1004600,0,0,0,0
638639,1004600,0,0,0,0
640573,1004600,0,0,0,0
526467,1006400,0,0,0,0
528401,1006400,0,0,0,0
530335,1006400,0,0,0,0
532269,1006400,0,0,0,0
534203,1006400,0,0,0,0
536137,1006400,0,0,0,0
538071,1006400,0,0,0,0
540005,1006400,0,0,0,0
541939,1006400,0,0,0,0
543873,1006400,0,0,0,0
545807,1006400,0,0,0,0
547741,1006400,0,0,0,0
549675,1006400,0,0,0,0
551609,1006400,0,0,0,0
553543,1006400,0,0,0,0
555477,1006400,0,0,0,0
557411,1006400,0,0,0,0
559345,1006400,0,0,0,0
561279,1006400,0,0,0,0
563213,1006400,0,0,0,0
565147,1006400,0,0,0,0
567081,1006400,0,0,0,0
569015,1006400,0,0,0,0
570949,1006400,0,0,0,0
572883,1006400,0,0,0,0
574817,1006400,0,0,0,0
576751,1006400,0,0,0,0
578685,1006400,0,0,0,0
580619,1006400,0,0,0,0
582553,1006400,0,0,0,0
584487,1006400,0,0,0,0
586421,1006400,0,0,0,0
588355,1006400,0,0,0,0
590289,1006400,0,0,0,0
592223,1006400,0,0,0,0
594157,1006400,0,0,0,0
596091,1006400,0,0,0,0
598025,1006400,0,0,0,0
599959,1006400,0,0,0,0
601893,1006400,0,0,0,0
603827,1006400,0,0,0,0
605761,1006400,0,0,0,0
607695,1006400,0,0,0,0
609629,1006400,0,0,0,0
611563,1006400,0,0,0,0
613497,1006400,0,0,0,0
615431,1006400,0,0,0,0
617365,1006400,0,0,0,0
619299,1006400,0,0,0,0
621233,1006400,0,0,0,0
623167,1006400,0,0,0,0
625101,1006400,0,0,0,0
627035,1006400,0,0,0,0
628969,1006400,0,0,0,0
630903,1006400,0,0,0,0
632837,1006400,0,0,0,0
634771,1006400,0,0,0,0
636705,1006400,0,0,0,0
638639,1006400,0,0,0,0
640573,1006400,0,0,0,0
526467,1008200,0,0,0,0
528401,1008200,0,0,0,0
530335,1008200,0,0,0,0
532269,1008200,0,0,0,0
534203,1008200,0,0,0,0
536137,1008200,0,0,0,0
538071,1008200,0,0,0,0
540005,1008200,0,0,0,0
541939,1008200,0,0,0,0
543873,1008200,0,0,0,0
545807,1008200,0,0,0,0
547741,1008200,0,0,0,0
549675,1008200,0,0,0,0
551609,1008200,0,0,0,0
553543,1008200,0,0,0,0
555477,1008200,0,0,0,0
557411,1008200,0,0,0,0
559345,1008200,0,0,0,0
561279,1008200,0,0,0,0
563213,1008200,0,0,0,0
565147,1008200,0,0,0,0
567081,1008200,0,0,0,0
569015,1008200,0,0,0,0
570949,1008200,0,0,0,0
572883,1008200,0,0,0,0
574817,1008200,0,0,0,0
576751,1008200,0,0,0,0
578685,1008200,0,0,0,0
580619,1008200,0,0,0,0
582553,1008200,0,0,0,0
584487,1008200,0,0,0,0
586421,1008200,0,0,0,0
588355,1008200,0,0,0,0
590289,1008200,0,0,0,0
592223,1008200,0,0,0,0
594157,1008200,0,0,0,0
596091,1008200,0,0,0,0
598025,1008200,0,0,0,0
599959,1008200,0,0,0,0
601893,1008200,0,0,0,0
603827,1008200,0,0,0,0
605761,1008200,0,0,0,0
607695,1008200,0,0,0,0
609629,1008200,0,0,0,0
611563,1008200,0,0,0,0
613497,1008200,0,0,0,0
615431,1008200,0,0,0,0
617365,1008200,0,0,0,0
619299,1008200,0,0,0,0
621233,1008200,0,0,0,0
623167,1008200,0,0,0,0
625101,1008200,0,0,0,0
627035,1008200,0,0,0,0
628969,1008200,0,0,0,0
630903,1008200,0,0,0,0
632837,1008200,0,0,0,0
634771,1008200,0,0,0,0
636705,1008200,0,0,0,0
638639,1008200,0,0,0,0
640573,1008200,0,0,0,0
526467,1010000,0,0,0,0
528401,1010000,0,0,0,0
530335,1010000,0,0,0,0
532269,1010000,0,0,0,0
534203,1010000,0,0,0,0
536137,1010000,0,0,0,0
538071,1010000,0,0,0,0
540005,1010000,0,0,0,0
541939,1010000,0,0,0,0
543873,1010000,0,0,0,0
545807,1010000,0,0,0,0
547741,1010000,0,0,0,0
549675,1010000,0,0,0,0
551609,1010000,0,0,0,0
553543,1010000,0,0,0,0
555477,1010000,0,0,0,0
557411,1010000,0,0,0,0
559345,1010000,0,0,0,0
561279,1010000,0,0,0,0
563213,1010000,0,0,0,0
565147,1010000,0,0,0,0
567081,1010000,0,0,0,0
569015,1010000,0,0,0,0
570949,1010000,0,0,0,0
572883,1010000,0,0,0,0
574817,1010000,0,0,0,0
576751,1010000,0,0,0,0
578685,1010000,0,0,0,0
580619,1010000,0,0,0,0
582553,1010000,0,0,0,0
584487,1010000,0,0,0,0
586421,1010000,0,0,0,0
588355,1010000,0,0,0,0
590289,1010000,0,0,0,0
